	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[121]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[122]	0.00476	0.00364	0.00516	0.00132	0.00189	0.0142	2.01	0.000777	17.9
a1[123]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[124]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[125]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[126]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[127]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[128]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[129]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[130]	0.0247	0.0302	0.0427	1.09e-05	1.86e-05	0.102	2.0	0.000775	36.7
a1[131]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[132]	0.00476	0.00364	0.00516	0.00132	0.00189	0.0142	2.01	0.000777	17.9
a1[133]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[134]	0.151	0.184	0.261	7.37e-08	1.45e-07	0.607	2.0	0.000775	133.0
a1[135]	0.0142	0.000295	0.00142	0.0116	0.0139	0.0173	23.1	0.00893	1.05
a1[136]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[137]	0.0397	0.00663	0.00988	0.0226	0.0432	0.0522	2.22	0.000858	3.02
a1[138]	0.0397	0.00663	0.00988	0.0226	0.0432	0.0522	2.22	0.000858	3.02
a1[139]	0.0142	0.000295	0.00142	0.0116	0.0139	0.0173	23.1	0.00893	1.05
a1[140]	0.0397	0.00663	0.00988	0.0226	0.0432	0.0522	2.22	0.000858	3.02
a1[141]	0.106	0.129	0.183	2.84e-07	5.39e-07	0.428	2.0	0.000775	83.8
a1[142]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[143]	0.00492	0.00505	0.00715	0.000574	0.000847	0.018	2.0	0.000776	25.4
a1[144]	0.0148	0.0181	0.0256	3.24e-05	5.31e-05	0.0611	2.0	0.000775	31.9
a1[145]	0.00629	0.0073	0.0103	0.000234	0.000358	0.0251	2.0	0.000775	27.7
a1[146]	0.0643	0.0118	0.0173	0.0338	0.0712	0.0844	2.15	0.000833	3.55
a1[147]	0.0239	0.00287	0.00453	0.0164	0.025	0.0307	2.49	0.000963	2.14
a1[148]	0.0397	0.00663	0.00988	0.0226	0.0432	0.0522	2.22	0.000858	3.02
a1[149]	0.00871	0.0014	0.0021	0.00593	0.00795	0.0124	2.26	0.000875	2.78
a1[150]	0.00587	0.00255	0.00364	0.00288	0.00398	0.0125	2.03	0.000784	8.37
