	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
c1[30]	0.0433	0.000391	0.0456	3.29e-05	0.0277	0.155	13656.0	0.0583	1.0
c1[31]	0.0341	0.00029	0.035	2.27e-05	0.0234	0.118	14557.0	0.0621	1.0
c1[32]	0.00575	6.11e-05	0.00825	1.17e-06	0.00238	0.0272	18245.0	0.0779	1.0
c1[33]	0.155	0.000967	0.0854	0.00306	0.155	0.319	7811.0	0.0333	1.0
c1[34]	0.0422	0.000177	0.0233	0.0041	0.0394	0.0929	17483.0	0.0746	1.0
c1[35]	0.173	0.0017	0.157	0.000102	0.134	0.504	8463.0	0.0361	1.0
c1[36]	0.00414	4.73e-05	0.00619	1.05e-06	0.00171	0.0204	17132.0	0.0731	1.0
c1[37]	0.0056	6.22e-05	0.00783	4.2e-06	0.00259	0.0264	15841.0	0.0676	1.0
c1[38]	0.00665	7.45e-05	0.00975	8.22e-07	0.00265	0.0327	17121.0	0.0731	1.0
c1[39]	0.0057	6.3e-05	0.00832	1.98e-06	0.00251	0.0279	17452.0	0.0745	1.0
c1[40]	0.0128	0.000164	0.0198	3.06e-06	0.00489	0.0641	14650.0	0.0625	1.0
c1[41]	0.101	0.000441	0.0476	0.00472	0.0977	0.197	11637.0	0.0497	1.0
c1[42]	0.0309	0.000289	0.034	3.66e-06	0.0189	0.113	13853.0	0.0591	1.0
c1[43]	0.0267	0.000225	0.0292	2.92e-05	0.0167	0.0995	16946.0	0.0723	1.0
c1[44]	0.0356	0.000173	0.0244	0.00226	0.0309	0.0914	19873.0	0.0848	1.0
c1[45]	0.0151	0.000166	0.0205	3.66e-06	0.00661	0.0707	15184.0	0.0648	1.0
c1[46]	0.106	0.00101	0.0984	2.87e-05	0.0819	0.318	9479.0	0.0405	1.0
c1[47]	0.415	0.00215	0.142	0.00824	0.443	0.612	4385.0	0.0187	1.0
c1[48]	0.0326	0.000325	0.0365	1.04e-05	0.0194	0.124	12595.0	0.0537	1.0
c1[49]	0.0393	0.000373	0.034	4.95e-05	0.033	0.113	8295.0	0.0354	1.0
c1[50]	0.0421	0.000178	0.0224	0.00667	0.039	0.091	15895.0	0.0678	1.0
c1[51]	0.206	0.00145	0.125	0.000342	0.214	0.431	7362.0	0.0314	1.0
