	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
a1[1,52]	0.058	0.000387	0.0344	0.0192	0.0488	0.144	7887.0	0.301	1.0
a1[1,53]	0.215	0.000475	0.053	0.114	0.213	0.32	12439.0	0.475	1.0
a1[1,54]	0.411	0.00411	0.187	0.0163	0.431	0.726	2066.0	0.079	1.0
a1[1,55]	0.059	0.000268	0.0268	0.0243	0.0526	0.125	10064.0	0.385	1.0
a1[1,56]	0.047	0.000431	0.0346	0.0157	0.0368	0.131	6455.0	0.247	1.0
a1[1,57]	0.191	0.00056	0.0595	0.0894	0.186	0.315	11253.0	0.43	1.0
a1[1,58]	0.049	0.000811	0.0578	0.00733	0.0259	0.209	5080.0	0.194	1.0
a1[1,59]	0.112	0.000296	0.0264	0.0681	0.109	0.169	7952.0	0.304	1.0
a1[1,60]	0.0683	0.000368	0.035	0.0265	0.0594	0.155	9058.0	0.346	1.0
a1[1,61]	0.0741	0.000256	0.0243	0.0381	0.07	0.129	9018.0	0.345	1.0
a1[1,62]	0.0516	0.000316	0.0295	0.0199	0.0436	0.126	8719.0	0.333	1.0
a1[1,63]	0.0723	0.000367	0.0384	0.0254	0.0626	0.166	10920.0	0.417	1.0
a1[1,64]	0.459	0.00289	0.166	0.0309	0.47	0.74	3318.0	0.127	1.0
a1[1,65]	0.116	0.000312	0.0367	0.0574	0.111	0.197	13860.0	0.53	1.0
a1[1,66]	0.03	0.000759	0.0501	0.00217	0.0124	0.164	4356.0	0.166	1.0
a1[1,67]	0.21	0.000391	0.0462	0.12	0.209	0.301	13907.0	0.532	1.0
a1[1,68]	0.22	0.000673	0.0678	0.0809	0.22	0.348	10144.0	0.388	1.0
a1[1,69]	0.106	0.000276	0.0333	0.0536	0.101	0.179	14584.0	0.557	1.0
a1[1,70]	0.369	0.00206	0.123	0.142	0.36	0.616	3541.0	0.135	1.0
a1[1,71]	0.243	0.000882	0.0881	0.0801	0.239	0.421	9982.0	0.382	1.0
a1[1,72]	0.196	0.000671	0.0672	0.0795	0.19	0.339	10020.0	0.383	1.0
a1[1,73]	0.082	0.000243	0.0271	0.042	0.0771	0.143	12420.0	0.475	1.0
a1[1,74]	0.049	0.000308	0.0212	0.0214	0.0439	0.0989	4747.0	0.181	1.0
a1[1,75]	0.0298	0.000644	0.0303	0.00418	0.0171	0.106	2212.0	0.0846	1.0
a1[1,76]	0.0823	0.000401	0.0371	0.0312	0.0749	0.168	8554.0	0.327	1.0
a1[1,77]	0.0841	0.000237	0.0295	0.0388	0.0794	0.15	15427.0	0.59	1.0
a1[1,78]	0.088	0.000332	0.0297	0.0432	0.0833	0.154	7998.0	0.306	1.0
a1[1,79]	0.0796	0.000461	0.0442	0.0262	0.0683	0.186	9177.0	0.351	1.0
a1[1,80]	0.0415	0.000465	0.0319	0.0102	0.0311	0.123	4707.0	0.18	1.0
a1[1,81]	0.0716	0.000235	0.0258	0.0346	0.0666	0.13	12022.0	0.46	1.0
a1[1,82]	0.0935	0.000727	0.0672	0.0176	0.0745	0.257	8541.0	0.326	1.0
a1[2,1]	0.108	0.000238	0.028	0.0617	0.105	0.169	13848.0	0.529	1.0
a1[2,2]	0.28	0.00286	0.173	0.0193	0.278	0.61	3656.0	0.14	1.0
a1[2,3]	0.114	0.00132	0.0622	0.00259	0.106	0.252	2220.0	0.0849	1.0
a1[2,4]	0.204	0.000757	0.079	0.0693	0.197	0.367	10877.0	0.416	1.0
a1[2,5]	0.18	0.000384	0.047	0.0989	0.176	0.278	14987.0	0.573	1.0
a1[2,6]	0.401	0.000605	0.06	0.283	0.4	0.514	9840.0	0.376	1.0
a1[2,7]	0.0465	0.000549	0.0456	0.00842	0.0314	0.167	6910.0	0.264	1.0
a1[2,8]	0.0748	0.000329	0.0338	0.0302	0.0673	0.154	10599.0	0.405	1.0
a1[2,9]	0.0991	0.000272	0.0297	0.053	0.0949	0.164	11944.0	0.457	1.0
a1[2,10]	0.0931	0.0011	0.0863	0.0154	0.0607	0.321	6176.0	0.236	1.0
a1[2,11]	0.0495	0.00163	0.0908	0.00148	0.0136	0.313	3090.0	0.118	1.0
a1[2,12]	0.0369	0.000799	0.0534	0.00154	0.0184	0.168	4475.0	0.171	1.0
a1[2,13]	0.186	0.000655	0.0698	0.0694	0.18	0.334	11377.0	0.435	1.0
a1[2,14]	0.118	0.000234	0.029	0.066	0.115	0.178	15320.0	0.586	1.0
a1[2,15]	0.0759	0.00118	0.0825	0.0135	0.0437	0.303	4913.0	0.188	1.0
a1[2,16]	0.0716	0.000305	0.0334	0.027	0.064	0.151	11995.0	0.459	1.0
a1[2,17]	0.0728	0.000272	0.0298	0.0305	0.0669	0.143	12049.0	0.461	1.0
a1[2,18]	0.189	0.000847	0.0929	0.0452	0.178	0.384	12027.0	0.46	1.0
a1[2,19]	0.246	0.00069	0.0764	0.103	0.243	0.397	12273.0	0.469	1.0
a1[2,20]	0.157	0.00132	0.0777	0.0368	0.145	0.334	3466.0	0.132	1.0
a1[2,21]	0.0692	0.000227	0.0262	0.0323	0.0642	0.131	13296.0	0.508	1.0
a1[2,22]	0.0589	0.000947	0.0658	0.00435	0.0363	0.23	4827.0	0.184	1.0
a1[2,23]	0.0213	0.000295	0.0223	0.00315	0.014	0.0798	5704.0	0.218	1.0
